incidente_id,ativo_id,data_abertura,tipo,severidade,tatica_mitre,status,analista_responsavel,horas_para_resolver,falso_positivo
INC-2025-0096,ATV-030,2025-12-31,Malware,Media,T1204 - User Execution,Resolvido,Camila Souza,40.2,Nao
INC-2026-0001,ATV-032,2026-01-02,Exfiltracao de Dados,Alta,T1041 - Exfiltration Over C2,Resolvido,Diego Fernandes,8.9,Nao
INC-2026-0002,ATV-002,2026-01-03,Exfiltracao de Dados,Critica,T1041 - Exfiltration Over C2,Resolvido,Bruno Carvalho,2.1,Nao
INC-2026-0003,ATV-007,2026-01-06,Exfiltracao de Dados,Alta,T1041 - Exfiltration Over C2,Resolvido,Felipe Nogueira,30.8,Nao
INC-2026-0004,ATV-013,2026-01-06,Vulnerabilidade Explorada,Critica,T1190 - Exploit Public-Facing Application,Resolvido,Elisa Ramos,9.8,Nao
INC-2026-0005,ATV-003,2026-01-06,Forca Bruta,Media,T1110 - Credential Access,Resolvido,Ana Beatriz,9.5,Sim
INC-2026-0006,ATV-027,2026-01-08,Phishing,Baixa,T1566 - Initial Access,Resolvido,Bruno Carvalho,25.9,Nao
INC-2026-0007,ATV-007,2026-01-08,Vulnerabilidade Explorada,Critica,T1190 - Exploit Public-Facing Application,Resolvido,Bruno Carvalho,1.5,Nao
INC-2026-0008,ATV-001,2026-01-10,Exfiltracao de Dados,Critica,T1041 - Exfiltration Over C2,Resolvido,Camila Souza,3.0,Nao
INC-2026-0009,ATV-002,2026-01-11,Vulnerabilidade Explorada,Critica,T1190 - Exploit Public-Facing Application,Resolvido,Elisa Ramos,1.0,Nao
INC-2026-0010,ATV-004,2026-01-11,Vulnerabilidade Explorada,Media,T1190 - Exploit Public-Facing Application,Em atendimento,Camila Souza,,Sim
INC-2026-0011,ATV-022,2026-01-12,Exfiltracao de Dados,Media,T1041 - Exfiltration Over C2,Resolvido,Camila Souza,6.6,Nao
INC-2026-0012,ATV-012,2026-01-12,Malware,Alta,T1204 - User Execution,Resolvido,Camila Souza,13.5,Nao
INC-2026-0013,ATV-039,2026-01-13,DDoS,Alta,T1498 - Impact,Resolvido,Felipe Nogueira,5.7,Sim
INC-2026-0014,ATV-024,2026-01-13,Engenharia Social,Alta,T1598 - Phishing for Information,Resolvido,Felipe Nogueira,18.5,Nao
INC-2026-0015,ATV-008,2026-01-17,Exfiltracao de Dados,Critica,T1041 - Exfiltration Over C2,Resolvido,Camila Souza,5.0,Nao
INC-2026-0016,ATV-036,2026-01-17,DDoS,Alta,T1498 - Impact,Resolvido,Bruno Carvalho,33.6,Nao
INC-2026-0017,ATV-031,2026-01-19,DDoS,Alta,T1498 - Impact,Resolvido,Elisa Ramos,0.5,Nao
INC-2026-0018,ATV-001,2026-01-22,Exfiltracao de Dados,Alta,T1041 - Exfiltration Over C2,Resolvido,Diego Fernandes,4.1,Nao
INC-2026-0019,ATV-032,2026-01-22,Forca Bruta,Alta,T1110 - Credential Access,Resolvido,Camila Souza,27.3,Nao
INC-2026-0020,ATV-022,2026-01-23,Forca Bruta,Baixa,T1110 - Credential Access,Resolvido,Felipe Nogueira,141.6,Nao
INC-2026-0021,ATV-038,2026-01-24,Acesso Anomalo,Media,T1078 - Valid Accounts,Resolvido,Felipe Nogueira,56.8,Nao
INC-2026-0022,ATV-008,2026-01-24,DDoS,Media,T1498 - Impact,Resolvido,Felipe Nogueira,33.6,Sim
INC-2026-0023,ATV-005,2026-01-24,Engenharia Social,Media,T1598 - Phishing for Information,Resolvido,Ana Beatriz,68.7,Sim
INC-2026-0024,ATV-005,2026-01-24,Phishing,Baixa,T1566 - Initial Access,Resolvido,Camila Souza,42.0,Sim
INC-2026-0025,ATV-008,2026-01-25,DDoS,Media,T1498 - Impact,Resolvido,Camila Souza,24.5,Nao
INC-2026-0026,ATV-002,2026-01-25,Exfiltracao de Dados,Alta,T1041 - Exfiltration Over C2,Resolvido,Bruno Carvalho,24.3,Nao
INC-2026-0027,ATV-007,2026-01-26,Malware,Alta,T1204 - User Execution,Resolvido,Camila Souza,8.5,Nao
INC-2026-0028,ATV-006,2026-01-26,Vulnerabilidade Explorada,Alta,T1190 - Exploit Public-Facing Application,Em atendimento,Ana Beatriz,,Nao
INC-2026-0029,ATV-037,2026-01-26,Engenharia Social,Media,T1598 - Phishing for Information,Resolvido,Bruno Carvalho,19.5,Nao
INC-2026-0030,ATV-003,2026-01-26,Phishing,Baixa,T1566 - Initial Access,Resolvido,Ana Beatriz,128.1,Nao
INC-2026-0031,ATV-021,2026-01-27,Malware,Baixa,T1204 - User Execution,Resolvido,Felipe Nogueira,106.4,Sim
INC-2026-0032,ATV-005,2026-01-28,Phishing,Media,T1566 - Initial Access,Resolvido,Elisa Ramos,27.8,Sim
INC-2026-0033,ATV-005,2026-01-29,Acesso Anomalo,Media,T1078 - Valid Accounts,Resolvido,Felipe Nogueira,3.7,Nao
INC-2026-0034,ATV-002,2026-01-29,Engenharia Social,Media,T1598 - Phishing for Information,Resolvido,Bruno Carvalho,6.6,Nao
INC-2026-0035,ATV-026,2026-01-30,Exfiltracao de Dados,Critica,T1041 - Exfiltration Over C2,Resolvido,Bruno Carvalho,4.0,Nao
INC-2026-0036,ATV-031,2026-01-30,Malware,Media,T1204 - User Execution,Resolvido,Diego Fernandes,28.7,Nao
INC-2026-0037,ATV-004,2026-01-31,Vulnerabilidade Explorada,Alta,T1190 - Exploit Public-Facing Application,Resolvido,Felipe Nogueira,7.1,Nao
INC-2026-0038,ATV-011,2026-02-01,Engenharia Social,Alta,T1598 - Phishing for Information,Resolvido,Elisa Ramos,20.3,Nao
INC-2026-0039,ATV-002,2026-02-01,Malware,Media,T1204 - User Execution,Resolvido,Bruno Carvalho,120.3,Nao
INC-2026-0040,ATV-002,2026-02-02,Engenharia Social,Media,T1598 - Phishing for Information,Resolvido,Elisa Ramos,25.2,Sim
INC-2026-0041,ATV-037,2026-02-03,DDoS,Alta,T1498 - Impact,Resolvido,Bruno Carvalho,16.4,Nao
INC-2026-0042,ATV-006,2026-02-03,Acesso Anomalo,Critica,T1078 - Valid Accounts,Resolvido,Ana Beatriz,2.6,Nao
INC-2026-0043,ATV-001,2026-02-04,Exfiltracao de Dados,Critica,T1041 - Exfiltration Over C2,Resolvido,Diego Fernandes,1.2,Nao
INC-2026-0044,ATV-017,2026-02-05,Malware,Media,T1204 - User Execution,Resolvido,Felipe Nogueira,2.8,Sim
INC-2026-0045,ATV-008,2026-02-05,Acesso Anomalo,Media,T1078 - Valid Accounts,Resolvido,Elisa Ramos,63.9,Nao
INC-2026-0046,ATV-016,2026-02-06,Exfiltracao de Dados,Critica,T1041 - Exfiltration Over C2,Resolvido,Elisa Ramos,2.3,Nao
INC-2026-0047,ATV-001,2026-02-07,Vulnerabilidade Explorada,Critica,T1190 - Exploit Public-Facing Application,Resolvido,Elisa Ramos,0.3,Nao
INC-2026-0048,ATV-023,2026-02-07,Forca Bruta,Baixa,T1110 - Credential Access,Resolvido,Felipe Nogueira,17.0,Nao
INC-2026-0049,ATV-004,2026-02-07,Vulnerabilidade Explorada,Alta,T1190 - Exploit Public-Facing Application,Em atendimento,Diego Fernandes,,Nao
INC-2026-0050,ATV-032,2026-02-10,Forca Bruta,Baixa,T1110 - Credential Access,Resolvido,Diego Fernandes,88.5,Nao
INC-2026-0051,ATV-002,2026-02-10,Forca Bruta,Critica,T1110 - Credential Access,Resolvido,Elisa Ramos,4.9,Nao
INC-2026-0052,ATV-003,2026-02-10,Malware,Media,T1204 - User Execution,Resolvido,Camila Souza,26.3,Nao
INC-2026-0053,ATV-026,2026-02-11,Acesso Anomalo,Alta,T1078 - Valid Accounts,Resolvido,Elisa Ramos,19.2,Nao
INC-2026-0054,ATV-025,2026-02-12,Acesso Anomalo,Alta,T1078 - Valid Accounts,Resolvido,Elisa Ramos,1.2,Nao
INC-2026-0055,ATV-006,2026-02-13,Phishing,Critica,T1566 - Initial Access,Resolvido,Ana Beatriz,3.9,Nao
INC-2026-0056,ATV-034,2026-02-14,Acesso Anomalo,Baixa,T1078 - Valid Accounts,Resolvido,Camila Souza,43.5,Sim
INC-2026-0057,ATV-017,2026-02-14,DDoS,Critica,T1498 - Impact,Resolvido,Bruno Carvalho,1.9,Nao
INC-2026-0058,ATV-029,2026-02-14,DDoS,Critica,T1498 - Impact,Resolvido,Ana Beatriz,2.1,Nao
INC-2026-0059,ATV-009,2026-02-15,Phishing,Critica,T1566 - Initial Access,Resolvido,Bruno Carvalho,10.4,Nao
INC-2026-0060,ATV-004,2026-02-16,DDoS,Alta,T1498 - Impact,Resolvido,Elisa Ramos,0.3,Nao
INC-2026-0061,ATV-025,2026-02-16,Exfiltracao de Dados,Critica,T1041 - Exfiltration Over C2,Resolvido,Camila Souza,4.7,Sim
INC-2026-0062,ATV-001,2026-02-17,DDoS,Media,T1498 - Impact,Resolvido,Diego Fernandes,65.2,Sim
INC-2026-0063,ATV-005,2026-02-19,Acesso Anomalo,Alta,T1078 - Valid Accounts,Resolvido,Elisa Ramos,49.8,Nao
INC-2026-0064,ATV-039,2026-02-19,Engenharia Social,Alta,T1598 - Phishing for Information,Resolvido,Camila Souza,7.9,Sim
INC-2026-0065,ATV-034,2026-02-20,DDoS,Alta,T1498 - Impact,Resolvido,Bruno Carvalho,29.7,Nao
INC-2026-0066,ATV-004,2026-02-20,Phishing,Alta,T1566 - Initial Access,Resolvido,Bruno Carvalho,2.3,Sim
INC-2026-0067,ATV-001,2026-02-20,Exfiltracao de Dados,Critica,T1041 - Exfiltration Over C2,Resolvido,Bruno Carvalho,14.1,Nao
INC-2026-0068,ATV-007,2026-02-21,Malware,Baixa,T1204 - User Execution,Em atendimento,Bruno Carvalho,,Nao
INC-2026-0069,ATV-019,2026-02-22,Vulnerabilidade Explorada,Alta,T1190 - Exploit Public-Facing Application,Resolvido,Camila Souza,14.0,Sim
INC-2026-0070,ATV-012,2026-02-28,Phishing,Media,T1566 - Initial Access,Resolvido,Camila Souza,74.1,Nao
INC-2026-0071,ATV-028,2026-03-06,Forca Bruta,Baixa,T1110 - Credential Access,Resolvido,Elisa Ramos,41.2,Sim
INC-2026-0072,ATV-026,2026-03-06,Engenharia Social,Alta,T1598 - Phishing for Information,Resolvido,Elisa Ramos,6.4,Nao
INC-2026-0073,ATV-003,2026-03-07,DDoS,Media,T1498 - Impact,Resolvido,Elisa Ramos,18.8,Sim
INC-2026-0074,ATV-027,2026-03-08,Acesso Anomalo,Media,T1078 - Valid Accounts,Resolvido,Felipe Nogueira,3.0,Nao
INC-2026-0075,ATV-005,2026-03-11,Vulnerabilidade Explorada,Alta,T1190 - Exploit Public-Facing Application,Resolvido,Elisa Ramos,1.4,Nao
INC-2026-0076,ATV-035,2026-03-14,Phishing,Media,T1566 - Initial Access,Resolvido,Ana Beatriz,13.3,Sim
INC-2026-0077,ATV-003,2026-03-14,Engenharia Social,Alta,T1598 - Phishing for Information,Resolvido,Diego Fernandes,10.6,Nao
INC-2026-0078,ATV-007,2026-03-14,Malware,Baixa,T1204 - User Execution,Resolvido,Diego Fernandes,22.0,Sim
INC-2026-0079,ATV-016,2026-03-15,Engenharia Social,Media,T1598 - Phishing for Information,Resolvido,Elisa Ramos,7.8,Nao
INC-2026-0080,ATV-035,2026-03-17,DDoS,Alta,T1498 - Impact,Em atendimento,Elisa Ramos,,Nao
INC-2026-0081,ATV-001,2026-03-18,DDoS,Media,T1498 - Impact,Resolvido,Camila Souza,52.0,Nao
INC-2026-0082,ATV-002,2026-03-19,Phishing,Baixa,T1566 - Initial Access,Resolvido,Camila Souza,60.5,Nao
INC-2026-0083,ATV-001,2026-03-20,Exfiltracao de Dados,Critica,T1041 - Exfiltration Over C2,Resolvido,Bruno Carvalho,5.0,Nao
INC-2026-0084,ATV-001,2026-03-20,Vulnerabilidade Explorada,Alta,T1190 - Exploit Public-Facing Application,Resolvido,Camila Souza,11.7,Nao
INC-2026-0085,ATV-004,2026-03-21,Exfiltracao de Dados,Alta,T1041 - Exfiltration Over C2,Resolvido,Camila Souza,4.5,Nao
INC-2026-0086,ATV-004,2026-03-22,Vulnerabilidade Explorada,Media,T1190 - Exploit Public-Facing Application,Em atendimento,Bruno Carvalho,,Sim
INC-2026-0087,ATV-005,2026-03-23,Exfiltracao de Dados,Critica,T1041 - Exfiltration Over C2,Resolvido,Ana Beatriz,3.9,Nao
INC-2026-0088,ATV-002,2026-03-24,Exfiltracao de Dados,Alta,T1041 - Exfiltration Over C2,Resolvido,Ana Beatriz,10.8,Nao
INC-2026-0089,ATV-004,2026-03-25,Engenharia Social,Baixa,T1598 - Phishing for Information,Resolvido,Diego Fernandes,33.7,Sim
INC-2026-0090,ATV-008,2026-03-26,Phishing,Media,T1566 - Initial Access,Resolvido,Ana Beatriz,37.5,Sim
INC-2026-0091,ATV-006,2026-03-26,DDoS,Baixa,T1498 - Impact,Resolvido,Bruno Carvalho,5.9,Sim
INC-2026-0092,ATV-007,2026-03-27,Vulnerabilidade Explorada,Media,T1190 - Exploit Public-Facing Application,Resolvido,Felipe Nogueira,12.2,Sim
INC-2026-0093,ATV-002,2026-03-30,Forca Bruta,Media,T1110 - Credential Access,Resolvido,Felipe Nogueira,1.1,Nao
INC-2026-0094,ATV-022,2026-04-01,Engenharia Social,Media,T1598 - Phishing for Information,Resolvido,Camila Souza,32.5,Nao
INC-2026-0095,ATV-031,2026-04-02,Acesso Anomalo,Media,T1078 - Valid Accounts,Resolvido,Bruno Carvalho,14.0,Nao
INC-2026-0096,ATV-017,2026-04-03,DDoS,Media,T1498 - Impact,Em atendimento,Ana Beatriz,,Nao
INC-2026-0097,ATV-039,2026-04-05,Malware,Baixa,T1204 - User Execution,Resolvido,Camila Souza,69.0,Sim
INC-2026-0098,ATV-019,2026-04-05,Exfiltracao de Dados,Critica,T1041 - Exfiltration Over C2,Resolvido,Camila Souza,2.1,Nao
INC-2026-0099,ATV-037,2026-04-06,DDoS,Alta,T1498 - Impact,Resolvido,Elisa Ramos,1.7,Nao
INC-2026-0100,ATV-003,2026-04-06,Acesso Anomalo,Alta,T1078 - Valid Accounts,Resolvido,Felipe Nogueira,9.4,Nao
INC-2026-0101,ATV-018,2026-04-07,Malware,Baixa,T1204 - User Execution,Resolvido,Elisa Ramos,219.2,Nao
INC-2026-0102,ATV-037,2026-04-08,DDoS,Media,T1498 - Impact,Resolvido,Camila Souza,21.6,Nao
